cpu_util,mem_util,gpu_util0,gmem_util0
2.7,8.7,55,19.89
3.1,8.7,55,19.89
2.7,8.7,55,19.89
2.7,8.7,55,19.89
3.1,8.7,56,19.89
3.5,8.7,56,19.89
3.3,8.7,52,19.89
3.1,8.7,52,19.89
3.1,8.7,52,19.89
3.1,8.7,52,19.89
3.3,8.7,52,19.89
4.0,8.7,51,19.89
3.1,8.7,51,19.89
2.9,8.7,52,19.89
3.1,8.7,52,19.89
2.7,8.7,52,19.89
3.3,8.7,52,19.89
3.7,8.7,52,19.89
2.7,8.7,51,19.89
3.1,8.7,51,19.89
2.9,8.7,51,19.89
3.3,8.7,51,19.89
3.3,8.7,51,19.89
3.1,8.7,49,19.89
2.7,8.7,49,19.89
3.1,8.7,51,19.89
3.3,8.7,51,19.89
2.9,8.7,51,19.89
3.1,8.7,51,19.89
2.9,8.7,51,19.89
3.1,8.7,50,19.89
2.9,8.7,50,19.89
3.1,8.7,50,19.89
2.7,8.7,56,19.89
3.3,8.7,56,19.89
4.1,8.7,57,19.89
2.7,8.7,57,19.89
51.1,8.7,57,19.89
3.1,8.7,53,19.89
3.3,8.7,53,19.89
3.9,8.7,54,19.89
3.1,8.7,54,19.89
2.9,8.7,52,19.89
3.1,8.7,52,19.89
3.1,8.7,52,19.89
3.3,8.7,49,19.89
3.3,8.7,49,19.89
2.9,8.7,53,19.89
2.7,8.7,53,19.89
3.1,8.7,53,19.89
3.5,8.7,53,19.89
3.1,8.7,53,19.89
3.3,8.7,55,19.89
3.7,8.7,55,19.89
2.5,8.7,55,19.89
3.3,8.7,53,19.89
2.9,8.7,53,19.89
3.3,8.7,49,19.89
3.5,8.7,49,19.89
3.1,8.7,54,19.89
2.9,8.7,54,19.89
3.1,8.7,54,19.89
3.3,8.7,44,19.89
2.9,8.7,44,19.89
2.9,8.7,47,19.89
3.3,8.7,47,19.89
2.7,8.7,47,19.89
2.7,8.7,46,19.89
3.3,8.7,46,19.89
3.1,8.7,48,19.89
2.9,8.7,48,19.89
3.9,8.7,48,19.89
2.9,8.7,53,19.89
2.9,8.7,53,19.89
3.1,8.7,55,19.89
3.1,8.7,55,19.89
2.9,8.7,56,19.89
3.5,8.7,56,19.89
2.9,8.7,56,19.89
2.7,8.7,53,19.89
3.3,8.7,53,19.89
2.9,8.7,56,19.89
3.1,8.7,56,19.89
3.3,8.7,56,19.89
2.9,8.7,48,19.89
3.7,8.7,48,19.89
3.3,8.7,53,19.89
3.1,8.7,53,19.89
2.9,8.7,53,19.89
3.3,8.7,55,19.89
2.7,8.7,55,19.89
2.9,8.7,53,19.89
4.8,8.7,53,19.89
