cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
15.0,14.5,89,13.03,73,13.03,0,12.88,0,12.79
39.6,13.0,0,13.03,0,13.03,0,12.88,0,12.79
46.6,14.8,0,13.03,0,13.03,86,12.88,0,12.79
20.6,15.5,0,13.03,0,13.03,47,12.88,60,12.79
17.0,15.5,89,13.03,87,13.03,22,12.88,69,12.79
16.5,15.0,94,13.03,75,13.03,77,12.88,93,12.79
22.8,13.9,21,13.03,69,13.03,13,12.88,62,12.79
14.0,14.1,0,13.03,0,13.03,59,12.88,69,12.79
67.3,15.4,0,13.03,0,13.03,49,12.88,76,12.79
43.2,15.9,94,13.03,90,13.03,0,12.88,70,12.79
63.5,13.5,89,13.03,94,13.03,0,1.27,76,12.79
26.4,12.8,82,13.03,89,13.03,0,1.27,86,12.79
49.4,12.1,0,13.03,0,13.03,0,1.27,17,12.79
8.2,11.4,0,13.03,0,13.03,5,3.97,56,12.79
76.0,13.4,0,13.03,92,13.03,0,10.14,80,12.79
64.7,14.3,75,13.03,81,13.03,0,10.14,80,12.79
63.8,14.3,75,13.03,82,13.03,0,10.14,61,12.79
64.6,13.4,80,13.03,0,13.03,76,12.87,30,12.79
54.0,12.3,0,1.27,0,13.03,62,12.87,0,1.27
48.6,10.0,0,1.27,0,13.03,81,12.87,0,1.27
28.3,10.2,3,4.57,97,13.03,81,12.87,0,1.27
35.2,12.6,83,13.76,90,13.03,37,12.87,3,4.03
62.9,11.3,77,13.76,4,13.03,0,12.87,4,7.47
56.7,12.0,68,13.76,0,1.27,0,12.87,10,9.39
52.9,10.5,79,13.76,0,1.27,31,12.87,11,9.39
52.0,11.5,88,13.76,0,1.27,84,12.87,4,9.39
58.1,10.5,78,13.76,0,1.27,44,12.87,15,9.39
