cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
72.7,43.6,100,50.78,94,28.17,99,45.03,100,57.49
25.2,45.1,100,50.78,99,28.17,100,45.03,100,57.49
27.7,44.2,100,50.78,100,28.17,100,45.03,100,57.49
25.3,45.4,100,50.78,99,28.17,100,45.03,100,57.49
74.7,44.1,100,50.78,100,28.17,100,45.03,99,57.49
66.5,43.7,98,50.78,100,28.17,97,45.03,100,57.49
25.2,44.5,100,50.78,99,28.17,100,45.03,100,57.49
25.5,44.7,100,50.78,100,28.17,100,45.03,100,57.49
29.9,46.2,100,50.78,100,28.17,100,45.03,100,57.49
57.2,43.6,100,50.78,100,28.17,100,45.03,100,57.49
47.6,44.1,99,50.78,100,28.17,97,45.03,100,57.49
56.7,44.7,100,50.78,99,28.17,100,45.03,100,57.49
73.3,43.9,100,50.78,99,28.17,99,45.03,99,57.49
84.4,44.9,100,50.78,98,28.17,97,45.03,100,57.49
64.8,43.4,100,50.78,99,28.17,100,45.03,100,57.49
63.3,43.9,100,50.78,100,28.17,100,45.03,100,57.49
48.0,46.5,100,50.78,100,28.17,99,45.03,100,57.49
79.6,44.0,100,50.78,97,28.17,100,45.03,100,57.49
79.6,45.0,100,50.78,100,28.17,97,45.03,100,57.49
34.2,43.6,100,50.78,90,28.17,100,45.03,100,57.49
78.3,43.9,99,50.78,100,28.17,100,45.03,100,57.49
25.9,45.1,100,50.78,94,28.17,100,45.03,100,57.49
25.1,44.6,100,50.78,100,28.17,100,45.03,100,57.49
25.2,44.6,100,41.89,100,28.17,100,45.03,100,48.6
71.7,41.2,100,41.89,100,28.17,99,45.03,100,48.6
84.8,39.9,100,41.89,100,28.17,99,45.03,100,48.6
23.3,40.3,100,41.89,98,28.17,100,45.03,100,48.6
31.1,40.9,100,41.89,100,28.17,99,45.03,100,39.71
69.7,38.0,100,33.0,100,28.17,99,45.03,100,39.71
31.2,35.8,100,33.0,97,28.17,100,45.03,99,39.71
60.5,37.0,100,33.0,100,28.17,100,47.35,100,39.71
68.4,38.8,100,33.0,100,28.17,99,50.42,100,39.71
71.5,38.6,100,33.0,99,28.17,100,52.25,100,39.71
50.4,39.2,100,33.0,100,28.17,100,52.25,100,39.71
48.9,41.0,100,33.0,99,28.17,100,52.25,100,41.06
41.6,41.5,100,33.0,100,28.17,100,53.92,100,45.3
37.9,43.7,100,33.0,100,28.17,100,53.92,100,54.92
71.8,41.7,100,33.0,100,28.17,100,40.69,100,54.92
87.4,38.7,100,33.0,99,28.17,100,40.69,100,54.92
21.7,40.1,100,33.0,100,28.17,100,40.69,100,54.92
70.6,40.0,99,33.0,100,28.17,99,40.69,100,54.92
21.4,39.4,100,33.0,93,28.17,100,40.69,100,54.92
20.7,39.7,100,24.96,100,28.17,100,40.69,100,54.92
36.4,37.0,97,24.96,100,28.17,100,40.69,100,54.92
70.4,36.6,91,24.96,100,28.17,93,40.7,100,54.92
29.6,37.3,99,25.04,98,28.17,89,40.7,100,54.92
41.8,40.9,100,35.67,100,28.17,100,40.7,100,54.92
39.1,40.3,99,39.05,100,28.17,100,40.7,99,54.92
72.0,38.4,99,39.05,99,20.14,100,40.7,100,54.92
73.5,38.7,99,39.05,96,20.14,100,40.7,100,54.92
39.5,39.3,100,39.85,70,20.14,100,40.7,100,54.92
64.3,41.9,100,39.85,99,24.53,100,40.7,92,54.92
36.5,40.7,99,39.85,100,32.74,100,40.7,100,54.92
73.5,40.3,99,40.66,83,32.74,100,40.7,100,54.92
70.5,40.6,98,40.66,100,32.74,96,40.7,100,54.92
55.0,40.9,100,40.66,100,32.74,97,40.7,99,54.92
60.4,40.2,95,40.66,100,32.74,98,40.7,100,54.92
61.5,40.4,100,40.66,100,32.74,100,40.7,100,54.92
75.9,40.8,99,40.66,100,32.74,100,40.7,100,54.92
96.3,41.4,99,40.66,100,32.74,100,40.7,100,54.92
38.8,41.6,100,40.66,99,32.74,100,40.7,100,54.92
61.0,40.6,100,40.66,100,32.74,99,27.47,100,54.92
84.6,38.1,99,40.66,99,32.74,100,27.47,100,54.92
28.1,38.4,90,40.66,99,32.74,90,27.47,100,54.92
54.6,37.3,100,40.66,92,23.04,97,27.47,100,54.92
30.0,36.4,98,40.66,89,23.04,96,27.47,98,54.92
84.0,37.4,99,40.66,90,23.04,92,28.72,100,54.92
78.4,40.2,99,40.66,95,31.46,99,41.1,99,54.92
80.7,43.1,97,40.66,93,40.15,99,48.31,95,43.83
33.3,45.4,100,40.66,76,46.11,89,50.49,100,43.83
99.4,44.4,94,40.66,70,46.11,100,50.49,100,43.83
92.8,45.2,97,40.66,99,46.11,96,50.49,99,43.83
81.9,43.6,100,40.66,100,42.06,100,55.61,99,43.83
76.8,44.2,91,40.66,100,42.06,100,55.61,100,43.83
51.8,44.6,99,40.66,100,42.06,100,55.61,100,43.83
48.8,45.1,94,40.66,100,42.06,100,46.44,100,43.83
74.8,42.9,97,40.66,100,42.1,100,46.44,100,43.83
26.9,44.1,99,40.66,100,45.2,100,46.44,100,43.83
59.1,43.9,100,40.66,100,46.95,100,48.43,100,43.83
78.1,44.9,98,40.66,100,48.94,100,50.27,100,43.83
77.1,46.0,100,40.66,100,51.51,100,52.18,100,43.83
58.4,45.7,100,40.66,100,51.51,100,55.89,100,43.83
77.7,46.1,99,40.66,100,51.51,100,55.89,100,43.83
79.9,46.5,100,40.66,100,51.51,100,55.89,100,43.83
58.9,45.7,100,40.66,100,51.51,100,55.89,97,43.83
77.3,46.0,99,40.66,100,51.51,100,55.89,100,28.61
27.6,43.9,100,40.66,100,51.51,100,55.89,90,28.61
64.4,42.4,99,40.66,100,51.51,100,55.89,97,28.61
75.4,40.5,84,33.21,100,51.51,100,55.89,93,20.49
82.2,39.8,100,33.21,100,51.51,100,55.89,90,22.78
76.1,40.5,90,33.21,100,51.51,100,55.89,94,30.14
30.3,40.7,63,25.09,100,51.51,100,55.89,94,35.19
39.9,42.1,60,25.09,100,51.51,100,55.89,4,35.19
79.2,42.6,63,25.09,100,51.51,100,55.89,35,24.1
57.3,41.1,65,25.09,100,51.51,100,55.89,99,30.3
51.4,42.0,56,27.83,100,51.51,100,55.89,85,30.3
76.0,43.6,40,33.33,100,51.51,100,55.89,100,30.3
29.3,43.7,100,32.5,100,51.51,100,55.89,95,30.3
